ID,Song Title,Year,Singer,Composer,Lyricist,Arranger,Producer,
C1301,天窗,2013,容祖兒 Joey Yung,周柏豪 Pakho Chau,黃偉文 Wyman Wong,馮翰銘 Alex Fung,馮翰銘 Alex Fung,
C1302,青春頌,2013,許廷鏗 Alfred Hui,藍奕邦 Pong Nan,藍奕邦 Pong Nan,Johnny Yim,Johnny Yim,
C1303,任我行,2013,陳奕迅 Eason Chan,Christopher Chak,林夕 Lin Xi,Gary Tong,Alvin Leong,
C1304,最好的時刻,2013,謝安琪 Kay Tse,Cousin Fung,周博賢 Adrian Chow,Cousin Fung,周博賢 Adrian Chow,
C1305,哥歌,2013,王菀之 Ivana Wong,王菀之 Ivana Wong,王菀之 Ivana Wong,"馮翰銘 Alex Fung, 王菀之 Ivana Wong",馮翰銘 Alex Fung,
C1401,獨家村,2014,謝安琪 Kay Tse,Christopher Chak,林夕 Lin Xi,Ted Lo,Alvin Leong,
C1402,青春常駐,2014,張敬軒 Hins Cheung,"張敬軒 Hins Cheung, Johnny Yim",黃偉文 Wyman Wong,Johnny Yim,"張敬軒 Hins Cheung, Johnny Yim",
C1403,流淚行勝利道,2014,許志安 Andy Hui,Larry Wong,周耀輝 Yiu Fai Chow,Larry Wong,舒文 Schumann Lee,
C1404,高山低谷,2014,林奕匡 Phil Lam,林奕匡 Phil Lam,陳詠謙 Abrahim Chan,"Edward Chan, 黃兆銘 Nick Wong",Edward Chan,
C1405,越難越愛,2014,吳若希 Jinny Ng,徐洛鏘 Damon Chui,張美賢 Sandy Cheung,Johnny Yim,"Johnny Yim, 韋景雲 Joseph Wei",
C1501,找對的人,2015,張敬軒 Hins Cheung,Iki,林若寧 Riley Lam,Iki,張敬軒 Hins Cheung,
C1502,我們都是這樣長大的,2015,林欣彤 Mag Lam,林欣彤 Mag Lam,林若寧 Riley Lam,王雙駿 Carl Wong,王雙駿 Carl Wong,
C1503,無條件,2015,陳奕迅 Eason Chan,Eric Kwok,袁兩半 Calvin Poon,張子堅 Isaac Chong,Eric Kwok,
C1504,逾越生死,2015,C AllStar,Cousin Fung,鍾晴 Wendy Chung,Cousin Fung,簡 Alan Kan,
C1505,過客別墅,2015,張敬軒 Hins Cheung,Vincent Chow,林夕 Lin Xi,Gary Tong,Alvin Leong,
C1601,女神,2016,鄭欣宜 Joyce Cheng,藍奕邦 Pong Nan,黃偉文 Wyman Wong,"孔奕佳 Edgar Hung, 何山 Shan Ho","何山 Shan Ho, 藍奕邦 Pong Nan",
C1602,無人知道雙子座,2016,容祖兒 Joey Yung,Cousin Fung,黃偉文 Wyman Wong,馮翰銘 Alex Fung,馮翰銘 Alex Fung,
C1603,百姓,2016,吳業坤 James Ng,Larry Wong,黃偉文 Wyman Wong,Larry Wong,舒文 Schumann Lee,
C1604,我的志願,2016,許廷鏗 Alfred Hui,陳光榮 Kwong Wing Chan,林夕 Lin Xi,陳光榮 Kwong Wing Chan,陳光榮 Kwong Wing Chan,
C1605,矛盾一生,2016,JW,林家謙 Terence Lam,陳詠謙 Abrahim Chan,"周錫漢 Randy Chow, 黃兆銘 Nick Wong",周錫漢 Randy Chow,
C1701,失魂記,2017,李克勤 Hacken Lee,馮翰銘 Alex Fung,林若寧 Riley Lam,馮翰銘 Alex Fung,馮翰銘 Alex Fung,
